Id,Building_Class,Zoning_Class,Lot_Extent,Lot_Size,Road_Type,Lane_Type,Property_Shape,Land_Outline,Utility_Type,Lot_Configuration,Property_Slope,Neighborhood,Condition1,Condition2,House_Type,House_Design,Overall_Material,House_Condition,Construction_Year,Remodel_Year,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Type,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Total_Basement_Area,Heating_Type,Heating_Quality,Air_Conditioning,Electrical_System,First_Floor_Area,Second_Floor_Area,LowQualFinSF,Grade_Living_Area,Underground_Full_Bathroom,Underground_Half_Bathroom,Full_Bathroom_Above_Grade,Half_Bathroom_Above_Grade,Bedroom_Above_Grade,Kitchen_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Functional_Rate,Fireplaces,Fireplace_Quality,Garage,Garage_Built_Year,Garage_Finish_Year,Garage_Size,Garage_Area,Garage_Quality,Garage_Condition,Pavedd_Drive,W_Deck_Area,Open_Lobby_Area,Enclosed_Lobby_Area,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Pool_Quality,Fence_Quality,Miscellaneous_Feature,Miscellaneous_Value,Month_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price
1,60,RLD,65,8450,Paved,NA,Reg,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,SS,VinylSd,VinylSd,BrkFace,196,Gd,TA,PC,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,TF,0,NA,Attchd,2003,RFn,2,1085.793744,TA,TA,Y,163.7880797,69.59611493,20.33793445,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,208500
2,20,RLD,80,9600,Paved,NA,Reg,Lvl,AllPub,FR2P,GS,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,CB,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,TF,1,TA,Attchd,1976,RFn,2,196.3163044,TA,TA,Y,198.9000744,74.71603269,15.03939163,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,181500
3,60,RLD,68,11250,Paved,NA,IR1,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,SS,VinylSd,VinylSd,BrkFace,162,Gd,TA,PC,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,TF,1,TA,Attchd,2001,RFn,2,218.0684028,TA,TA,Y,26.12753268,32.08526783,-46.23219756,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,223500
4,70,RLD,60,9550,Paved,NA,IR1,Lvl,AllPub,C,GS,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,SS,Wd Sdng,Wd Shng,None,0,TA,TA,BT,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,TF,1,Gd,Detchd,1998,Unf,3,696.9964389,TA,TA,Y,46.94801782,40.18141497,60.92182117,0,0,0,NA,NA,NA,0,2,2006,WD,Abnorml,140000
5,60,RLD,84,14260,Paved,NA,IR1,Lvl,AllPub,FR2P,GS,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,SS,VinylSd,VinylSd,BrkFace,350,Gd,TA,PC,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,TF,1,TA,Attchd,2000,RFn,3,568.8598818,TA,TA,Y,-10.62610502,20.7553232,21.78881783,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,250000
6,50,RLD,85,14115,Paved,NA,IR1,Lvl,AllPub,I,GS,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,SS,VinylSd,VinylSd,None,0,TA,TA,W,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,TF,0,NA,Attchd,1993,Unf,2,703.4813592,TA,TA,Y,0.621401755,36.74033513,70.35036151,320,0,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,143000
7,20,RLD,75,10084,Paved,NA,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,SS,VinylSd,VinylSd,Stone,186,Gd,TA,PC,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,TF,1,Gd,Attchd,2004,RFn,2,555.4156939,TA,TA,Y,39.04717722,118.6134567,-7.064621653,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,307000
8,60,RLD,NA,10382,Paved,NA,IR1,Lvl,AllPub,C,GS,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,SS,HdBoard,HdBoard,Stone,240,TA,TA,CB,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,TF,2,TA,Attchd,1973,RFn,2,737.6329931,TA,TA,Y,201.1010464,150.621507,76.92394394,0,0,0,NA,NA,Shed,350,11,2009,WD,Normal,200000
9,50,RMD,51,6120,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,SS,BrkFace,Wd Shng,None,0,TA,TA,BT,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,MD1,2,TA,Detchd,1931,Unf,2,424.620043,Fa,TA,Y,-24.04468374,57.93398583,78.56316068,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,129900
10,190,RLD,50,7420,Paved,NA,Reg,Lvl,AllPub,C,GS,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,TF,2,TA,Attchd,1939,RFn,1,632.5392395,Gd,TA,Y,31.12321931,59.82769631,57.75763132,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,118000
