Customer ID,Credit_Amount,Gender,Academic_Qualification,Marital,Age_Years,Repayment_Status_Jan,Repayment_Status_Feb,Repayment_Status_March,Repayment_Status_April,Repayment_Status_May,Repayment_Status_June,Jan_Bill_Amount,Feb_Bill_Amount,March_Bill_Amount,April_Bill_Amount,May_Bill_Amount,June_Bill_Amount,Previous_Payment_Jan,Previous_Payment_Feb,Previous_Payment_March,Previous_Payment_April,Previous_Payment_May,Previous_Payment_June,Default_Payment
1,20000,2,2,1,24,2,2,0,0,0,0,3933,3103,689,0,0,0,0,679,0,0,0,0,1
2,220000,2,2,2,26,0,2,0,0,0,2,3683,1735,2682,3272,3455,3261,0,2000,1000,1000,0,2000,1
3,90000,2,2,2,34,0,0,0,0,0,0,39339,14037,23559,24332,14848,15548,1619,2500,1000,1000,1000,5000,0
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48333,49292,29324,28858,28547,3000,2029,1200,1100,1069,1000,0
5,50000,1,2,1,57,0,0,0,0,0,0,8637,5570,35835,20940,18146,18131,3000,36672,10000,9000,689,679,0
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57058,57608,29394,18618,20024,3600,2725,657,1000,1000,800,0
7,5.00E+05,1,1,2,29,0,0,0,0,0,0,367965,413033,445007,542653,483003,473844,66000,40000,59000,30339,13750,13770,0
8,2.00E+05,2,2,2,23,0,0,0,0,0,0,33876,380,602,222,-158,567,390,602,0,581,1687,1542,0
9,240000,2,3,1,28,0,0,2,0,0,0,33385,14085,22208,22222,11783,3718,3339,0,552,1000,1000,1000,0
10,20000,1,3,2,35,0,0,0,0,0,0,0,0,0,0,13007,13812,0,0,0,13007,1133,0,0
11,2.00E+05,2,3,2,34,0,0,2,0,0,0,33073,8787,5535,2523,1828,3731,3306,22,50,300,3738,66,0
12,260000,2,1,2,51,0,0,0,0,0,2,33363,31570,9966,9527,22287,13668,31919,9966,9595,33301,0,3640,0
13,630000,2,2,2,41,0,0,0,0,0,0,33337,5500,6500,6500,6500,2870,1000,6500,6500,5500,3870,0,0
14,70000,1,2,2,30,1,2,2,0,0,2,65803,57358,65702,66792,36137,36884,3300,0,5000,3000,1500,0,1
15,250000,1,1,2,29,0,0,0,0,0,0,70887,57050,63562,59696,56875,55512,3000,3000,5000,3000,3000,3000,0
16,50000,2,3,3,23,1,2,0,0,0,0,50634,38173,28226,29772,28531,30211,0,2500,1100,1300,1300,1100,0
17,20000,1,1,2,24,0,0,2,2,2,2,35376,18010,27428,29339,17805,18104,3300,0,1500,0,1650,0,1
18,320000,1,1,1,49,0,0,0,0,0,0,353386,345535,294663,70074,5856,185588,10369,20000,75950,30000,195599,50000,0
19,360000,2,1,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,280000,2,1,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,230000,2,3,2,39,0,0,0,0,0,0,38358,37588,24489,20626,11802,830,3000,2537,1000,3000,930,33764,0
22,220000,2,2,1,39,0,0,0,0,0,0,336,315,326,0,632,316,316,326,0,533,316,0,1
23,70000,2,2,2,26,2,0,0,2,2,2,43087,43445,45020,44006,46805,46012,3007,3572,0,3501,0,1820,1
24,450000,2,1,1,40,0,0,0,0,0,0,5533,18430,2473,560,0,0,19439,2473,560,0,0,1128,1
25,90000,1,1,2,23,0,0,0,0,0,0,4744,7070,0,5399,6360,8282,6767,0,5599,1300,3055,2000,0
26,50000,1,3,2,23,0,0,0,0,0,0,47630,41810,36023,29967,28828,30046,1973,2426,1001,1433,1063,997,0
27,60000,1,1,2,27,1,0,0,0,0,0,-309,-435,259,-57,127,-188,0,2000,0,500,0,1000,1
28,50000,2,3,2,30,0,0,0,0,0,0,33543,15138,27263,27979,18831,18617,1300,2300,1000,1500,1000,1012,0
29,50000,2,3,1,47,0,0,0,0,0,0,650,3415,3426,2040,30430,257,3416,3422,2055,30430,357,0,0
30,50000,1,1,2,26,0,0,0,0,0,0,35339,15575,27496,27907,18375,11400,1600,2500,1000,1000,1600,0,0
31,230000,2,1,2,27,0,0,0,0,0,0,36646,17355,23266,25339,14307,36823,17370,23272,15559,14307,37393,0,0
32,50000,1,2,2,33,2,0,0,0,0,0,30538,38518,22202,22734,23217,23680,1719,2500,1000,1000,1000,716,1
33,2.00E+05,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,90959,78703,75588,3033,3522,5502,3304,3300,2504,0
34,5.00E+05,2,2,1,54,0,0,0,0,0,0,30939,4153,22722,7522,71438,8881,4163,22727,7521,71439,981,51582,0
35,5.00E+05,1,1,1,58,0,0,0,0,0,0,33709,5005,32230,3290,0,5283,6006,32277,5190,0,5393,768,0
36,260000,1,1,2,30,0,0,0,0,0,0,30365,-131,-527,-923,-1488,-1884,131,396,596,555,793,0,0
37,280000,1,2,1,40,0,0,0,0,0,0,386503,181338,280422,270420,173801,177413,9036,7060,6500,5400,6500,6737,0
38,60000,2,2,2,22,0,0,0,0,0,0,35054,8805,22068,6026,-28335,18660,1600,2527,2055,0,57671,617,0
39,50000,1,1,2,25,1,0,0,0,0,0,0,780,0,0,0,0,790,0,0,0,0,0,1
40,280000,1,1,2,31,0,0,2,0,0,0,498,8075,4642,9976,17876,8477,9076,0,9976,8000,9535,781,0
41,360000,1,1,2,33,0,0,0,0,0,0,338668,331385,206895,629699,185868,178224,10000,7000,6000,188840,38000,4000,0
42,70000,2,1,2,25,0,0,0,0,0,0,67533,55888,63949,63699,64718,65870,3000,4500,5052,3500,3800,2500,0
43,20000,1,2,2,22,0,0,0,0,0,0,3877,3184,6003,3576,3670,4451,1600,2927,1000,300,1000,500,0
44,240000,2,2,1,37,0,0,0,0,0,0,59504,51544,62925,64290,67078,68802,3000,3000,5000,4000,5000,3000,0
45,40000,2,1,2,30,0,0,0,2,0,0,38937,31385,25922,25209,26636,28187,3000,5000,0,3000,3000,0,0
46,220000,1,1,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,20000,2,1,2,22,0,0,2,0,0,0,34038,15484,25800,26342,16675,0,3000,0,16751,334,0,0,1
48,250000,2,5,2,46,0,0,0,0,0,0,4463,3034,2270,2270,0,0,1013,2270,0,0,0,0,1
49,380000,1,2,2,32,0,0,0,0,0,0,33403,31540,25234,32029,11848,11873,31640,25237,25677,11851,11875,8251,0
50,20000,1,1,2,24,0,0,0,0,0,0,37447,18478,29476,29965,20480,20063,1319,2325,705,938,913,1069,0
51,70000,1,3,2,42,1,2,2,2,2,0,37043,35171,38355,39423,38658,38362,0,3200,2000,0,1500,1500,1
52,2.00E+05,2,3,3,43,0,0,0,0,0,0,63559,51153,43824,39629,35762,33258,3000,2606,1500,3000,1500,1000,0
53,320000,2,2,1,49,0,0,0,0,0,0,33465,7857,7600,22295,3544,464,7976,7600,11195,3544,565,0,0
54,280000,2,1,2,25,1,2,0,0,0,0,43403,41743,42758,43520,44420,45318,1300,2020,1762,1753,1790,1622,0
55,250000,2,1,2,29,2,0,0,0,0,0,46334,34883,32434,26529,21042,16540,1600,2727,1059,1500,3000,5000,0
56,5.00E+05,2,1,1,45,0,0,0,0,0,0,3905,3540,262,0,151,2530,3640,262,0,151,3530,0,0
57,280000,2,3,1,34,0,0,0,0,0,0,36386,15783,8442,7242,-678,8321,9600,2500,7500,579,9000,2000,0
58,280000,2,2,1,34,0,0,0,0,0,0,375886,173440,272308,269609,132202,128818,9093,7296,5255,4814,5816,3800,0
59,2.00E+05,2,1,2,34,0,3,2,2,2,2,3587,1088,782,2266,700,1414,0,0,700,0,1300,0,0
60,4.00E+05,2,2,1,29,0,0,0,0,0,0,500335,388857,404205,360299,356656,364088,17000,25029,50000,13000,13000,23000,0
61,5.00E+05,2,3,1,28,0,0,0,0,0,0,33848,33538,28878,24937,13827,15571,1616,2300,1000,1000,3000,2000,1
62,70000,1,2,1,39,0,0,0,0,0,0,70800,73050,69938,26529,14086,830,4036,2095,1000,3000,3000,0,0
63,50000,1,1,2,29,2,2,2,2,2,2,34987,34300,26592,25965,27667,28264,0,2700,0,3335,1300,0,1
64,50000,2,2,1,46,0,0,0,0,0,0,38738,38155,0,0,0,0,1000,0,0,0,0,0,1
65,230000,2,2,1,51,0,0,0,0,0,0,99,0,0,0,2353,0,0,0,0,3353,0,0,0
66,2.00E+05,1,1,1,57,0,0,0,0,2,2,353539,148751,244076,9274,8188,7818,0,0,9222,300,0,1000,1
67,20000,1,2,1,56,2,2,2,0,0,0,3097,4183,3978,4062,4186,4326,3300,0,150,300,300,160,1
68,220000,2,1,2,30,2,0,0,0,0,0,300,300,2259,2290,300,4250,300,2259,2290,300,5350,909,0
69,230000,2,3,2,29,1,0,0,0,2,0,-390,-8850,-9850,20322,10161,7318,0,0,20161,0,7319,13899,0
70,20000,1,5,2,22,2,0,0,0,0,0,38565,17304,27285,29095,11205,5882,0,2200,1000,500,1000,0,0
71,80000,1,1,2,31,0,0,0,0,0,0,780,0,390,390,380,380,0,390,590,390,390,390,0
72,320000,1,2,2,29,2,2,2,2,2,2,58367,58345,60284,59622,62307,63526,3600,2500,0,4800,3500,1600,1
73,2.00E+05,2,2,1,32,0,0,0,0,2,0,9076,5787,-684,5247,3848,3151,6919,25,9102,17,3165,1395,0
74,290000,2,1,2,37,1,0,0,0,0,0,0,0,3255,0,2358,0,0,3255,0,3359,0,0,0
75,340000,1,1,2,32,0,0,0,0,0,0,3048,5550,23337,4292,80153,25820,6713,23453,5515,80553,35959,2016,0
76,20000,1,2,2,24,0,0,2,0,0,0,34639,17315,26642,26976,17332,18543,3960,0,610,530,1500,0,0
77,50000,1,3,2,25,0,0,0,0,0,0,43838,37335,36087,9636,8580,10030,1769,2779,520,500,1000,1000,0
78,3.00E+05,2,1,1,45,0,0,0,0,0,0,393,381,292,292,281,281,391,292,291,391,391,291,0
79,30000,2,2,2,22,0,0,0,0,0,0,38387,38513,30326,29004,26446,6411,1696,2400,560,3000,1765,0,1
80,240000,2,2,2,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,470000,2,3,3,33,0,0,0,0,0,0,365354,157784,262702,69923,28271,28888,6400,7566,5000,950,1000,3000,0
